stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
469,504,H. Mare Nostrum (504),,38.89653,1.413047,1593,https://eivissa.tib.org/web/cie/parades/-/parada/504
470,505,H. Goleta (505),,38.898193,1.415997,2061,https://eivissa.tib.org/web/cie/parades/-/parada/505
471,506,Malacosta (506),,38.90049,1.418173,1846,https://eivissa.tib.org/web/cie/parades/-/parada/506
472,507,es Viver (507),,38.903435,1.419561,1981,https://eivissa.tib.org/web/cie/parades/-/parada/507
473,500,Hï Ibiza (500),,38.885036,1.404048,1899,https://eivissa.tib.org/web/cie/parades/-/parada/500
474,501,Bora Bora - es Daus (501),,38.88726,1.406315,2134,https://eivissa.tib.org/web/cie/parades/-/parada/501
475,502,H. Garbí (502),,38.891,1.407426,1709,https://eivissa.tib.org/web/cie/parades/-/parada/502
476,503,H. Algarb (503),,38.892895,1.409299,2114,https://eivissa.tib.org/web/cie/parades/-/parada/503
477,496,H. Playa Real (496),,38.91894,1.456918,1578,https://eivissa.tib.org/web/cie/parades/-/parada/496
478,497,CS Vila (497),,38.91752,1.445951,2084,https://eivissa.tib.org/web/cie/parades/-/parada/497
479,499,Ushuaïa & Hard Rock Hotel (H. Bahamas) (499),,38.882286,1.402246,2100,https://eivissa.tib.org/web/cie/parades/-/parada/499
480,492,Aqualandia (492),,38.917465,1.469114,1733,https://eivissa.tib.org/web/cie/parades/-/parada/492
481,495,Club Nautico (495),,38.91354,1.4352189,12340,https://eivissa.tib.org/web/cie/parades/-/parada/495
482,494,Port (494),,38.911358,1.434531,12340,https://eivissa.tib.org/web/cie/parades/-/parada/494
483,489,ses Pitreres (489),,38.924526,1.454305,1652,https://eivissa.tib.org/web/cie/parades/-/parada/489
484,488,Can Rimbau (488),,38.928432,1.452671,1769,https://eivissa.tib.org/web/cie/parades/-/parada/488
485,491,H. Victoria (491),,38.919598,1.461078,1617,https://eivissa.tib.org/web/cie/parades/-/parada/491
486,490,ses Torres Baixes (490),,38.921,1.457865,2190,https://eivissa.tib.org/web/cie/parades/-/parada/490
489,487,Jesús (487),,38.931213,1.450013,1744,https://eivissa.tib.org/web/cie/parades/-/parada/487
490,486,el Vivero de Jesus (486),,38.927605,1.444652,1814,https://eivissa.tib.org/web/cie/parades/-/parada/486
491,481,Fusteria (481),,38.927044,1.429812,70,https://eivissa.tib.org/web/cie/parades/-/parada/481
